route_id,query_date,route_pair,n_flights,synthetic,corridor_id,waypoint_index,lon,lat
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,46,60.04633,32.65873
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,47,61.10828,32.28786
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,48,62.17342,31.92117
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,49,63.24175,31.55758
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,50,64.31257,31.1968
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,51,65.38339,30.83884
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,52,66.45421,30.4837
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,53,67.52504,30.12997
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,54,68.59586,29.77624
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,55,69.66668,29.42251
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,56,70.73856,29.07317
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,57,71.81908,28.77207
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,58,72.35717,28.60946
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,59,77.1025,28.5562
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,0,8.5706,50.0333
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,1,13.14424,48.59429
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,2,13.85113,48.46118
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,3,15.30273,48.15535
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,4,16.78392,47.83882
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,5,18.29501,47.48486
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,6,19.82575,47.06825
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,7,21.36818,46.60756
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,8,22.8622,46.07879
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,9,24.30563,45.48765
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,10,25.70096,44.84526
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,11,27.05338,44.20498
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,12,28.37851,43.58373
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,13,29.69532,43.0644
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,14,31.00781,42.59537
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,15,32.31425,42.154
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,16,33.60313,41.71375
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,17,34.88803,41.24207
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,18,36.17223,40.72406
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,19,37.45573,40.21738
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,20,38.74122,39.73752
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,21,40.04142,39.28446
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,22,41.34163,38.84636
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,23,42.64336,38.40826
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,24,43.95243,37.97015
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,25,45.26885,37.53205
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,26,46.59262,37.09394
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,27,47.92374,36.65584
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,28,49.26068,36.21774
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,29,50.59762,35.77963
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,30,51.93457,35.34153
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,31,53.27151,34.90342
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,32,54.60845,34.46532
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,33,55.9454,34.02721
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,34,57.28234,33.58911
2022-01-17_EDDF_VTBS_0,2022-01-17,EDDF→VTBS,15,False,0,35,58.61928,33.15101
